title,poster,url,rating,star,star_time
带壳的牡蛎是大人的心脏,https://img9.doubanio.com/view/subject/s/public/s34319046.jpg,https://book.douban.com/subject/36082424/,8.7,4,2023-03-18 08:02:53
三体Ⅲ,https://img9.doubanio.com/view/subject/s/public/s26012674.jpg,https://book.douban.com/subject/5363767/,9.2,3,2023-02-09 08:02:53
三体Ⅱ,https://img2.doubanio.com/view/subject/l/public/s3078482.jpg,https://book.douban.com/subject/3066477/,9.3,4,2023-02-03 08:02:53
三体,https://img1.doubanio.com/view/subject/l/public/s2768378.jpg,https://book.douban.com/subject/2567698/,8.9,4,2023-02-03 08:02:53
蛤蟆先生去看心理医生,https://img1.doubanio.com/view/subject/l/public/s34288957.jpg,https://book.douban.com/subject/35143790/,8.4,4,2023-01-25 08:02:53
月亮与六便士,https://img9.doubanio.com/view/subject/l/public/s28604546.jpg,https://book.douban.com/subject/26954760/,8.8,5,2023-01-17 08:02:53
被讨厌的勇气,https://img1.doubanio.com/view/subject/l/public/s29237648.jpg,https://book.douban.com/subject/26369699/,8.6,3,2022-01-04 18:42:29
回归故里,https://img2.doubanio.com/view/subject/l/public/s33659613.jpg,https://book.douban.com/subject/34942789/,8.7,3,2022-01-04 18:40:42
深入浅出计算机网络,https://img1.doubanio.com/view/subject/l/public/s34307239.jpg,https://book.douban.com/subject/36066143/,,4,2022-01-04 16:41:42
图解HTTP,https://img2.doubanio.com/view/subject/l/public/s27283822.jpg,https://book.douban.com/subject/25863515/,,4,2022-01-04 15:38:34
小狗钱钱,https://img1.doubanio.com/view/subject/l/public/s33789389.jpg,https://book.douban.com/subject/35295592/,,3,2022-01-04 15:38:19
